code,company,name,gender,age,flights_count,avg_flight_price,avg_flight_time,avg_distance,most_common_agency,hotels_count,avg_hotel_price_per_night,avg_hotel_days,total_spent_on_hotels,gender_filled
0,4You,Roy Braun,male,21,178.0,989.0661235955056,1.3703370786516853,527.233595505618,CloudFy,27.0,225.7414814814815,2.6296296296296298,16014.92,male
1,4You,Joseph Holsten,male,37,12.0,818.8983333333334,1.3216666666666665,508.6483333333333,CloudFy,2.0,193.36,1.0,386.72,male
2,4You,Wilma Mcinnis,female,48,262.0,906.9218320610687,1.3351908396946566,513.6713740458015,Rainbow,36.0,210.05,2.6944444444444446,20088.12,female
3,4You,Paula Daniel,female,23,398.0,936.9138944723618,1.3151758793969848,506.0743718592965,CloudFy,60.0,217.0585,2.3,29974.11,female
4,4You,Patricia Carson,female,44,398.0,957.3934170854271,1.345929648241206,517.9554773869347,Rainbow,56.0,214.94767857142855,2.5714285714285716,31657.7,female
5,4You,Trina Thomas,none,47,128.0,1019.17203125,1.41203125,543.324375,CloudFy,13.0,209.59,2.076923076923077,5896.05,none
6,4You,Jesse Decelle,male,46,164.0,918.6263414634146,1.2974390243902438,499.3307317073171,CloudFy,23.0,220.8913043478261,2.5217391304347827,12455.94,male
7,4You,Gregoria Gil,female,21,104.0,905.2106730769231,1.1867307692307691,456.74384615384616,CloudFy,14.0,172.64285714285714,2.5714285714285716,6563.26,female
8,4You,Jack Sabo,none,41,350.0,951.4083714285714,1.309257142857143,503.8594857142857,CloudFy,52.0,224.97942307692307,2.6153846153846154,31862.35,none
9,4You,Debbie Helms,none,35,230.0,955.6922608695652,1.3631304347826085,524.6291304347826,CloudFy,32.0,195.569375,2.84375,17970.31,none
10,4You,Melvin Lovejoy,male,36,128.0,894.22109375,1.28890625,495.8365625,Rainbow,17.0,215.82764705882354,2.6470588235294117,9811.11,male
11,4You,Virginia Roberts,female,61,384.0,923.7963802083333,1.2876041666666667,495.3915625,CloudFy,54.0,214.64333333333332,2.4814814814814814,29470.02,female
12,4You,David Thomas,male,53,140.0,926.8991428571429,1.2462857142857142,479.5807142857143,CloudFy,26.0,220.04115384615383,2.4615384615384617,13334.07,male
13,4You,Irene Tucker,none,36,358.0,945.4478491620113,1.347094972067039,518.4516201117318,CloudFy,50.0,211.4266,2.72,29596.760000000002,none
14,4You,John Cody,male,37,80.0,933.1783750000001,1.3282500000000002,511.10725,CloudFy,9.0,222.43444444444447,2.4444444444444446,4939.51,male
15,4You,Janice Cudney,female,56,296.0,924.2652364864865,1.3258108108108109,510.2797972972973,CloudFy,47.0,198.3640425531915,2.4468085106382977,22060.22,female
16,4You,Shane Hubner,female,47,312.0,931.6523397435898,1.3234615384615385,509.4104487179487,CloudFy,50.0,219.5442,2.26,24420.43,female
17,4You,Victor Tribbett,none,25,76.0,857.4298684210526,1.215,467.555,Rainbow,8.0,218.15375,2.5,4264.91,none
18,4You,Tanya Orourke,none,65,268.0,921.2725373134328,1.3193283582089552,507.7088059701492,Rainbow,40.0,220.061,2.25,18862.12,none
19,4You,John Bennett,male,22,166.0,980.5706626506025,1.3296385542168674,511.84156626506024,Rainbow,31.0,230.55483870967743,2.838709677419355,20149.0,male
20,4You,Sally Roberts,female,65,154.0,917.0080519480518,1.2822077922077924,493.26103896103893,CloudFy,25.0,219.4168,2.52,13277.72,female
21,4You,Julia Meinhart,female,56,398.0,975.4067839195981,1.38643216080402,533.5719095477386,Rainbow,53.0,191.3862264150943,2.509433962264151,26541.16,female
22,4You,Michele Ashford,female,51,280.0,905.3252142857143,1.2957857142857143,498.6748571428571,Rainbow,47.0,204.02063829787232,2.5531914893617023,24703.28,female
23,4You,Leslie Sandoval,male,35,292.0,909.2570205479452,1.3267123287671232,510.4689726027397,CloudFy,39.0,229.69589743589742,2.41025641025641,22122.59,male
24,4You,Calvin Cuellar,male,60,82.0,962.3436585365853,1.4265853658536587,549.2407317073171,Rainbow,11.0,201.88181818181818,3.1818181818181817,6938.09,male
25,4You,Elizabeth Smith,female,64,186.0,938.4819354838711,1.3243010752688171,509.79430107526883,CloudFy,27.0,195.19370370370368,2.5925925925925926,13544.95,female
26,4You,Yolanda Connolly,female,49,186.0,948.3447849462366,1.3174193548387096,506.8401075268817,Rainbow,27.0,208.02962962962962,2.3703703703703702,12833.34,female
27,4You,Sean Pearson,male,62,152.0,945.5133552631579,1.3727631578947368,528.2281578947368,Rainbow,23.0,213.73347826086956,2.5652173913043477,12842.66,male
28,4You,April Miller,female,46,20.0,924.3155,1.246,479.753,Rainbow,4.0,162.9025,2.25,1363.61,female
29,4You,Lisa Natera,female,35,52.0,899.9646153846153,1.18,453.7626923076923,Rainbow,6.0,236.9383333333333,2.3333333333333335,3659.45,female
30,4You,Alberta Bornhorst,female,59,24.0,734.46375,0.8683333333333333,334.3233333333333,CloudFy,4.0,197.7125,3.0,2191.88,female
31,4You,Christopher Elliott,none,40,86.0,851.7816279069767,1.140232558139535,438.73023255813956,Rainbow,12.0,166.84916666666666,2.5,5210.83,none
32,4You,Wesley Locker,male,44,370.0,958.0029729729729,1.3453513513513513,517.7330810810811,Rainbow,53.0,212.17509433962266,2.490566037735849,29303.32,male
33,4You,Ida Turzak,female,56,6.0,1150.7883333333332,1.6466666666666667,633.3933333333333,CloudFy,0.0,0.0,0.0,0.0,female
34,4You,Anita Petersen,female,21,322.0,927.8738198757763,1.2896273291925466,496.2928571428571,CloudFy,39.0,224.93179487179486,2.2564102564102564,20673.47,female
35,4You,Helen Selby,none,34,92.0,885.5121739130434,1.1986956521739132,461.16021739130434,Rainbow,12.0,165.0325,2.5833333333333335,5075.28,none
36,4You,Anna Rodriguez,none,56,150.0,854.9008666666667,1.1504,442.6494666666667,Rainbow,28.0,192.0425,2.75,14072.46,none
37,4You,Denise Newton,none,27,28.0,783.5110714285714,1.3085714285714285,503.54714285714283,CloudFy,3.0,177.27999999999997,2.6666666666666665,1442.8500000000001,none
38,4You,Nancy Dowdy,female,47,206.0,931.8699029126215,1.2775728155339807,491.58058252427185,CloudFy,27.0,219.5785185185185,2.4814814814814814,14803.39,female
39,4You,Billie Dwight,female,48,290.0,927.0780689655173,1.2826896551724138,493.4908275862069,Rainbow,43.0,214.0132558139535,2.697674418604651,24099.48,female
40,4You,Carlos Campbell,none,42,360.0,926.7369444444444,1.3155555555555556,506.3472777777778,CloudFy,51.0,206.79274509803923,2.372549019607843,25534.9,none
41,4You,Sandra Bissonnette,female,62,352.0,928.0351704545454,1.2922727272727272,497.30795454545455,Rainbow,56.0,210.2394642857143,2.482142857142857,30217.25,female
